nid	macroregion	departamento_code	departamento_name	id	municipio_name	fecha_creacion	km2	municipio_capital_name	lat	lon	asnm	pob1963t	pob1971t	pob1995t	pob2005t	pob2006t	pob2007t	pob2008t	pob2009t	pob2010t	pob2011t	pob2012t	pob2013t	pob2014t	pob2015t	pob2016t	pob2017t	pob1963ur	pob1971ur	pob1995ur	pob2005ur	pob2006ur	pob2007ur	pob2008ur	pob2009ur	pob2010ur	pob2011ur	pob2012ur	pob2013ur	pob2014ur	pob2015ur	pob2016ur	pob2017ur	pob1963ru	pob1971ru	pob1995ru	pob2005ru	pob2006ru	pob2007ru	pob2008ru	pob2009ru	pob2010ru	pob2011ru	pob2012ru	pob2013ru	pob2014ru	pob2015ru	pob2016ru	pob2017ru
109	Pacifico	80	Rivas 	8040	Rivas	<1963	280.54	Rivas	11.43333333	-85.81666667	57	17432	20612	37817	41080	41975	42890	43825	44780	45756	46753	47772	48813	49877	50964	52075	53208	7721	10007	20868	27650	28168	28696	29234	29782	30340	30909	31488	32078	32679	33292	33916	34553	9711	10605	16949	13430	13803	14186	14580	14985	15401	15829	16268	16720	17184	17661	18151	18655
109	Pacifico	80	Rivas 	8045	San Juan del Sur	<1963	411.05	San Juan del Sur	11.25	-85.86666667	3	5500	6891	13125	14741	14827	14914	15001	15089	15177	15266	15355	15445	15535	15626	15718	15811	2103	2432	5438	7220	7319	7420	7522	7625	7730	7836	7944	8053	8164	8276	8390	8505	3397	4459	7687	7521	7503	7485	7467	7449	7431	7413	7395	7377	7359	7341	7323	7306
109	Pacifico	80	Rivas 	8050	Cárdenas	<1963	226.63	Cárdenas	11.18333333	-85.5	40	1966	2053	4636	6990	7034	7078	7123	7168	7213	7259	7305	7351	7397	7444	7491	7539	366	521	715	934	971	1010	1050	1092	1136	1181	1228	1277	1328	1381	1436	1493	1600	1532	3921	6056	6055	6054	6053	6052	6051	6050	6049	6048	6047	6046	6045	6046
109	Atlantico	85	Río San Juan 	8505	Morrito	<1963	678.94	Morrito	11.61666667	-85.06666667	45	4965	5435	6093	6570	6643	6717	6792	6868	6945	7022	7100	7179	7259	7340	7422	7505	324	789	952	1856	1884	1913	1942	1972	2002	2033	2064	2096	2128	2161	2194	2228	4641	4646	5141	4714	4759	4804	4849	4895	4941	4988	5035	5083	5131	5179	5228	5277
109	Atlantico	85	Río San Juan 	8510	El Almendro	>1971	1009.01	El Almendro	11.66666667	-84.7	190	0	0	11795	13363	13478	13594	13711	13829	13948	14068	14189	14311	14434	14558	14683	14807	0	0	1450	2792	2847	2903	2960	3018	3077	3137	3198	3261	3325	3390	3456	3524	0	0	10345	10571	10629	10687	10745	10804	10863	10922	10981	11041	11101	11161	11222	11283
109	Atlantico	85	Río San Juan 	8515	San Miguelito	<1963	1096.59	San Miguelito	11.4	-84.9	44	4045	4959	13534	17031	17177	17324	17473	17623	17774	17927	18081	18236	18393	18551	18710	18871	885	1284	3064	2807	2881	2957	3035	3115	3197	3281	3367	3455	3546	3639	3734	3829	3160	3675	10470	14224	14290	14357	14424	14491	14559	14627	14695	14764	14833	14902	14972	15042
109	Atlantico	85	Río San Juan 	8520	San Carlos	<1963	1444.8	San Carlos	11.11666667	-84.76666667	39	6067	9717	28733	37461	38456	39478	40527	41604	42709	43844	45009	46205	47432	48692	49986	51312	1547	2487	8909	12174	12516	12868	13230	13602	13984	14377	14781	15197	15624	16063	16515	16980	4520	7230	19824	25287	25940	26610	27297	28002	28725	29466	30227	31007	31807	32628	33470	34332
109	Atlantico	85	Río San Juan 	8525	El Castillo	>1971	1654.81	Boca de Sabalos	11.03333333	-84.46666667	50	0	0	9717	19864	20854	21894	22985	24131	25334	26597	27923	29315	30776	32310	33921	35612	0	0	315	2834	3041	3263	3501	3757	4031	4325	4641	4980	5344	5734	6153	6602	0	0	9402	17030	17803	18611	19456	20339	21262	22227	23236	24291	25394	26547	27752	29010
109	Atlantico	85	Río San Juan 	8530	San Juan de Nicaragua	<1963	427.57	San Juan del Norte	11.11666667	-84.3	5	599	721	271	1307	1370	1437	1507	1580	1657	1737	1821	1909	2002	2099	2201	2309	199	721	238	985	1023	1063	1105	1148	1193	1240	1288	1338	1390	1444	1500	1560	400	0	33	322	345	370	397	426	457	490	526	564	605	649	696	749
109	Atlantico	91	RAAN	9105	Waspán	<1963	9341.71	Waspán	14.73333333	-83.96666667	30	16752	17201	35082	47231	48173	49134	50114	51113	52132	53172	54232	55313	56416	57541	58688	59859	1484	1204	5301	7038	7352	7680	8023	8381	8755	9146	9554	9981	10427	10893	11379	11889	15268	15997	29781	40193	40790	41396	42011	42635	43268	43911	44563	45225	45897	46579	47271	47970
109	Atlantico	91	RAAN	9110	Puerto Cabezas	<1963	5984.81	Bilwi	14.01666667	-82.38333333	10	11621	13466	39771	66169	69379	72744	76273	79973	83852	87919	92184	96655	101343	106259	111413	116817	5983	5528	22588	39428	41536	43756	46095	48559	51155	53890	56771	59806	63003	66371	69919	73656	5638	7938	17183	26741	27829	28962	30141	31368	32645	33974	35357	36796	38294	39853	41475	43161
109	Atlantico	91	RAAN	9115	Rosita	>1971	2205.42	Rosita	13.91666667	-84.4	60	0	0	14599	22723	23521	24347	25202	26087	27004	27953	28935	29952	31004	32093	33221	34390	0	0	5930	8535	8904	9289	9690	10109	10546	11002	11477	11973	12490	13030	13593	14179	0	0	8669	14188	14613	15050	15500	15964	16442	16934	17441	17963	18501	19055	19625	20211
109	Atlantico	91	RAAN	9120	Bonanza	>1971	1897.94	Bonanza	14.01666667	-84.58333333	180	0	0	11810	18633	19266	19920	20597	21297	22020	22768	23541	24341	25168	26023	26907	27820	0	0	4459	8143	8471	8813	9168	9538	9923	10323	10739	11172	11623	12092	12580	13087	0	0	7351	10490	10791	11101	11420	11748	12085	12432	12789	13156	13534	13923	14323	14733
109	Atlantico	91	RAAN	9125	Waslala	>1971	1329.51	Waslala	13.33333333	-85.36666667	420	0	0	32924	49339	50777	52257	53780	55348	56961	58621	60330	62089	63899	65762	67679	69652	0	0	4082	8604	9036	9490	9967	10468	10994	11546	12126	12735	13375	14047	14753	15494	0	0	28842	40735	41713	42715	43741	44792	45868	46970	48098	49253	50436	51647	52887	54158
109	Atlantico	91	RAAN	9127	Mulukukú	>1971	1904.53	Mulukukú	13.16666667	-84.95	80	0	0	0	29838	31136	32490	33903	35378	36917	38523	40199	41948	43773	45677	47664	49738	0	0	0	4283	4582	4902	5244	5610	6002	6421	6869	7348	7861	8410	8997	9624	0	0	0	25555	26533	27549	28604	29699	30836	32017	33243	34516	35838	37210	38635	40114
109	Atlantico	91	RAAN	9130	Siuna	>1971	3421.58	Siuna	13.73333333	-84.76666667	200	0	0	53218	64092	66701	69417	72243	75184	78245	81431	84746	88196	91787	95524	99413	103463	0	0	8530	10345	11006	11709	12457	13253	14100	15001	15960	16980	18065	19219	20447	21754	0	0	44688	53747	55656	57633	59680	61800	63995	66268	68622	71060	73584	76198	78905	81709
109	Atlantico	91	RAAN	9135	Prinzapolka	<1963	7020.48	Prinzapolka	13.4	-83.55	5	16619	24321	5312	16105	17313	18612	20009	21510	23124	24859	26724	28729	30885	33203	35694	38375	7740	8277	334	1689	1878	2088	2322	2582	2871	3193	3551	3949	4391	4883	5430	6040	8879	16044	4978	14416	15420	16494	17643	18872	20186	21592	23096	24704	26424	28264	30232	32335
109	Atlantico	93	RAAS	9305	Paiwas	>1971	2088.6	Bocana De Paiwas	12.78333333	-85.11666667	145	0	0	32911	31762	32096	32434	32775	33120	33468	33820	34176	34536	34899	35266	35637	36012	0	0	3346	3934	4134	4345	4566	4799	5043	5300	5570	5854	6152	6465	6794	7140	0	0	29565	27828	27914	28000	28086	28172	28259	28346	28433	28520	28608	28696	28784	28872
109	Atlantico	93	RAAS	9310	La Cruz de Río Grande	<1963	3448.52	La Cruz de Río Grande	13.1	-84.18333333	19	7150	12605	13642	23284	24305	25371	26484	27646	28859	30125	31446	32825	34265	35768	37337	38975	155	150	1001	829	949	1086	1243	1423	1629	1865	2135	2444	2797	3202	3665	4193	6995	12455	12641	22455	23289	24154	25051	25981	26946	27947	28985	30061	31177	32335	33536	34782
109	Atlantico	93	RAAS	9312	Desembocadura de Río Grande	>1971	1738.29	Karawala	12.91666667	-83.56666667	5	0	0	3151	3585	3616	3647	3678	3709	3741	3773	3805	3837	3870	3903	3936	3970	0	0	1877	2293	2336	2380	2425	2471	2518	2566	2615	2664	2714	2765	2817	2871	0	0	1274	1292	1275	1258	1241	1224	1208	1192	1176	1160	1144	1129	1114	1099
109	Atlantico	93	RAAS	9315	Laguna de Perlas	>1971	1963.43	Laguna de Perlas 	12.33333333	-83.66666667	3	0	0	6253	10676	11131	11606	12101	12617	13155	13716	14301	14911	15547	16210	16901	17619	0	0	3325	4404	4671	4954	5254	5572	5910	6268	6648	7051	7478	7931	8412	8923	0	0	2928	6272	6445	6623	6806	6994	7187	7385	7589	7798	8013	8234	8461	8696
109	Atlantico	93	RAAS	9316	El Tortuguero	>1971	3403.07	El Tortuguero	12.81666667	-84.2	20	0	0	9402	22324	23761	25290	26917	28649	30493	32455	34543	36766	39132	41650	44330	47183	0	0	834	1737	1953	2195	2467	2773	3117	3504	3939	4428	4978	5596	6291	7074	0	0	8568	20587	21764	23008	24323	25713	27183	28737	30379	32115	33950	35890	37941	40109
109	Atlantico	93	RAAS	9320	Rama	<1963	3752.9	El Rama	12.15	-84.21666667	9	17219	49895	54337	52482	52937	53396	53859	54326	54797	55272	55751	56235	56723	57215	57711	58213	600	1432	17138	14838	15298	15772	16260	16764	17283	17818	18370	18939	19526	20131	20754	21396	16619	48463	37199	37644	37574	37505	37436	37367	37298	37229	37160	37091	37022	36954	36886	36817
109	Atlantico	93	RAAS	9323	El Ayote	>1971	831	El Ayote	12.5	-84.81666667	130	0	0	0	12417	12789	13172	13566	13972	14390	14821	15265	15722	16192	16677	17176	17688	0	0	0	3921	4121	4331	4552	4784	5028	5285	5555	5839	6137	6450	6779	7126	0	0	0	8496	8652	8810	8971	9135	9302	9472	9645	9822	10002	10185	10371	10562
109	Atlantico	93	RAAS	9325	Muelle de los Bueyes	>1971	1379.77	Muelle de los Bueyes	12.06666667	-84.53333333	99	0	0	23252	22082	22251	22422	22594	22767	22942	23118	23295	23474	23654	23835	24018	24202	0	0	2599	7397	7601	7810	8025	8246	8473	8706	8946	9192	9445	9705	9972	10248	0	0	20653	14685	14623	14561	14499	14437	14376	14315	14254	14193	14133	14073	14013	13954
109	Atlantico	93	RAAS	9330	Kukra - Hill	>1971	1193.23	Kukra Hill	12.23333333	-83.75	50	0	0	7455	8789	8874	8960	9047	9134	9222	9311	9401	9492	9584	9677	9771	9864	0	0	2839	2767	2851	2938	3027	3119	3214	3312	3413	3517	3624	3734	3848	3964	0	0	4616	6022	6012	6002	5992	5982	5972	5962	5952	5942	5932	5922	5912	5900
109	Atlantico	93	RAAS	9335	Corn Island	<1963	9	Corn Island	12.16666667	-83.05	4	1896	2083	5336	6626	6701	6776	6852	6929	7007	7086	7166	7247	7329	7412	7495	7579	1896	2042	5336	6626	6701	6776	6852	6929	7007	7086	7166	7247	7329	7412	7495	7579	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	Atlantico	93	RAAS	9340	Bluefields	<1963	4774.75	Bluefields	12	-83.75	20	17706	25937	37254	45547	46380	47229	48093	48973	49869	50781	51710	52656	53619	54600	55599	56618	9758	14406	33745	38623	39708	40824	41971	43150	44362	45608	46889	48206	49560	50952	52383	53856	7948	11531	3509	6924	6414	5941	5503	5097	4721	4373	4051	3752	3475	3219	2982	2762
109	Atlantico	93	RAAS	9345	Nueva Guinea	>1971	2677.46	Nueva Guinea	11.68333333	-84.45	210	0	0	79259	66936	67829	68734	69651	70580	71522	72476	73443	74423	75416	76422	77442	78474	0	0	31359	25585	26395	27231	28094	28984	29902	30849	31826	32834	33874	34947	36054	37197	0	0	47900	41351	41345	41339	41333	41327	41321	41315	41309	41303	41297	41291	41285	41277
