nid	macroregion	departamento_code	departamento_name	id	municipio_name	fecha_creacion	km2	municipio_capital_name	lat	lon	asnm	pob1963t	pob1971t	pob1995t	pob2005t	pob2006t	pob2007t	pob2008t	pob2009t	pob2010t	pob2011t	pob2012t	pob2013t	pob2014t	pob2015t	pob2016t	pob2017t	pob1963ur	pob1971ur	pob1995ur	pob2005ur	pob2006ur	pob2007ur	pob2008ur	pob2009ur	pob2010ur	pob2011ur	pob2012ur	pob2013ur	pob2014ur	pob2015ur	pob2016ur	pob2017ur	pob1963ru	pob1971ru	pob1995ru	pob2005ru	pob2006ru	pob2007ru	pob2008ru	pob2009ru	pob2010ru	pob2011ru	pob2012ru	pob2013ru	pob2014ru	pob2015ru	pob2016ru	pob2017ru
25	central	20	Madriz 	2025	Palacagüina	<1963	156.53	Palacagüina	13.45	-86.4	560	4701	5774	11843	12825	13012	13201	13393	13588	13786	13987	14191	14398	14608	14821	15037	15253	995	1316	3755	4235	4325	4417	4511	4607	4705	4805	4907	5011	5117	5226	5337	5448	3706	4458	8088	8590	8685	8781	8878	8976	9076	9177	9279	9382	9486	9591	9697	9805
26	central	20	Madriz 	2030	Yalagüina	<1963	70.92	Yalagüina	13.48333333	-86.5	694	3503	3258	7501	9597	9817	10042	10273	10509	10750	10997	11250	11508	11772	12042	12319	12603	355	532	1677	1636	1703	1773	1846	1922	2001	2083	2169	2258	2351	2448	2549	2655	3148	2726	5824	7961	8110	8262	8417	8575	8736	8900	9067	9237	9410	9586	9766	9948
27	central	20	Madriz 	2035	San Lucas	<1963	152.08	SanLucas	13.4	-86.6	790	6075	6723	10464	12975	13189	13406	13627	13852	14080	14312	14548	14788	15032	15280	15532	15788	377	466	585	2124	2192	2263	2336	2411	2489	2569	2652	2737	2825	2916	3010	3107	5698	6257	9879	10851	10993	11137	11283	11430	11579	11730	11883	12038	12195	12354	12515	12681
28	central	20	Madriz 	2040	Las Sabanas	<1963	64.54	Las Sabanas	13.33333333	-86.61666667	1260	1760	1717	4063	4136	4200	4265	4331	4398	4466	4535	4606	4678	4751	4825	4900	4978	202	272	835	904	924	944	965	986	1007	1029	1051	1074	1097	1121	1145	1171	1558	1445	3228	3232	3276	3321	3367	3413	3460	3508	3556	3605	3655	3705	3756	3807
29	central	20	Madriz 	2045	San José de Cusmapa	<1963	129.92	San José de Cusmapa	13.28333333	-86.65	1280	3855	4237	5705	7072	7153	7235	7318	7402	7487	7573	7660	7748	7837	7927	8018	8114	252	465	1121	1405	1444	1484	1525	1567	1611	1656	1702	1749	1798	1848	1899	1953	3603	3772	4584	5667	5707	5747	5787	5827	5868	5909	5950	5992	6034	6076	6118	6161
30	central	25	Estelí 	2505	Pueblo Nuevo	<1963	202.62	Pueblo Nuevo	13.36666667	-86.48333333	606	9426	10552	19532	20620	20868	21119	21373	21630	21890	22153	22419	22688	22961	23237	23516	23799	1237	1592	2849	3444	3538	3635	3734	3836	3941	4049	4160	4274	4391	4511	4634	4762	8189	8960	16683	17176	17324	17473	17623	17775	17928	18082	18238	18395	18553	18713	18874	19037
31	central	25	Estelí 	2510	Condega	<1963	370.84	Condega	13.35	-86.38333333	560	12439	13131	25155	28481	28668	28856	29046	29237	29429	29622	29817	30013	30210	30409	30609	30811	2229	3399	7856	9894	10015	10137	10261	10386	10513	10641	10771	10902	11035	11170	11306	11443	10210	9732	17299	18587	18651	18715	18779	18844	18909	18974	19039	19104	19170	19236	19302	19368
32	central	25	Estelí 	2515	Estelí	<1963	795.67	Estelí	13.08333333	-86.35	843	27367	34828	92988	112084	113266	114460	115667	116887	118120	119366	120625	121897	123182	124481	125794	127119	12742	19801	71550	90294	91548	92819	94108	95415	96740	98083	99445	100826	102226	103646	105085	106546	14625	15027	21438	21790	21686	21582	21479	21376	21274	21172	21071	20970	20870	20770	20671	20573
33	central	25	Estelí 	2520	San Juan de Limay	<1963	427.57	San Juan de Limay	13.16666667	-86.6	281	9333	8652	12501	13455	13573	13692	13812	13933	14055	14178	14302	14427	14553	14680	14809	14939	1847	2148	3472	3668	3742	3817	3894	3972	4052	4133	4216	4301	4387	4475	4565	4658	7486	6504	9029	9787	9827	9867	9908	9949	9990	10031	10072	10113	10155	10197	10239	10281
34	central	25	Estelí 	2525	La Trinidad	<1963	269.99	La Trinidad	12.96666667	-86.23333333	601	10692	12001	18518	20140	20313	20488	20664	20842	21021	21202	21385	21569	21755	21942	22131	22322	2340	3410	7267	11000	11125	11252	11380	11510	11641	11774	11908	12044	12181	12320	12460	12601	8352	8591	11251	9140	9187	9234	9282	9330	9378	9426	9475	9524	9573	9622	9672	9721
35	central	25	Estelí 	2530	San Nicolás	<1963	163	San Nicolás	12.91666667	-86.35	985	4016	3413	6200	6768	6829	6890	6952	7014	7077	7141	7205	7270	7335	7401	7467	7534	119	198	477	619	657	698	741	787	836	888	943	1001	1063	1129	1199	1271	3897	3215	5723	6149	6158	6167	6176	6185	6194	6203	6213	6223	6233	6243	6253	6263
36	Pacifico	30	Chinandega 	3005	San Pedro del Norte	<1963	71.5	San Pedro del Norte	13.26666667	-86.86666667	500	3194	3449	4048	4719	4758	4798	4838	4878	4919	4960	5001	5043	5085	5127	5170	5214	321	437	409	651	670	690	710	731	752	774	797	820	844	869	894	919	2873	3012	3639	4068	4086	4105	4124	4143	4162	4181	4200	4219	4238	4257	4276	4295
37	Pacifico	30	Chinandega 	3010	San Francisco del Norte	<1963	120.31	San Francisco del Norte	13.2	-86.76666667	396	5105	4849	5980	6758	6801	6844	6887	6931	6975	7019	7063	7108	7153	7198	7244	7290	393	488	582	902	932	963	995	1028	1062	1097	1134	1172	1211	1251	1293	1338	4712	4361	5398	5856	5864	5872	5880	5888	5896	5904	5912	5920	5928	5936	5944	5952
38	Pacifico	30	Chinandega 	3015	Cinco Pinos	<1963	60.38	Cinco Pinos	13.21666667	-86.86666667	400	3705	4448	6220	6781	6816	6851	6886	6922	6958	6994	7030	7066	7102	7139	7176	7213	416	466	557	1192	1220	1249	1279	1309	1340	1372	1405	1438	1472	1507	1543	1581	3289	3982	5663	5589	5593	5597	5601	5605	5609	5613	5617	5621	5625	5629	5633	5632
39	Pacifico	30	Chinandega 	3020	Santo Tomás del Norte	<1963	39.99	Santo Tomás del Norte	13.18333333	-86.91666667	180	2881	3142	6788	7124	7213	7304	7396	7489	7583	7678	7774	7872	7971	8071	8172	8275	597	632	369	1229	1272	1317	1363	1411	1460	1511	1564	1619	1676	1735	1796	1858	2284	2510	6419	5895	5937	5979	6021	6064	6107	6150	6194	6238	6282	6327	6372	6417
40	Pacifico	30	Chinandega 	3025	El Viejo	<1963	1274.91	El Viejo	12.66666667	-87.16666667	43	19534	24084	69055	76775	77722	78680	79650	80632	81626	82633	83652	84684	85728	86785	87855	88939	7190	8480	33607	39178	39981	40801	41638	42492	43363	44252	45159	46085	47030	47994	48978	49984	12344	15604	35448	37597	37708	37820	37932	38044	38157	38270	38383	38497	38611	38725	38840	38955
41	Pacifico	30	Chinandega 	3030	Puerto Morazán	<1963	517.34	Tonalá	12.76666667	-87.13333333	10	2932	3369	11411	13328	13558	13792	14030	14272	14518	14768	15023	15282	15546	15814	16087	16364	1420	1608	4368	5949	6094	6243	6395	6551	6711	6875	7043	7215	7391	7571	7756	7945	1512	1761	7043	7379	7461	7543	7626	7710	7795	7881	7968	8056	8145	8235	8326	8419
42	Pacifico	30	Chinandega 	3035	Somotillo	<1963	724.71	Somotillo	13.03333333	-86.9	40	9874	11616	24767	29030	29390	29755	30124	30498	30876	31259	31647	32040	32438	32840	33247	33660	1435	1853	9891	13290	13649	14017	14395	14783	15182	15592	16013	16445	16889	17345	17813	18294	8439	9763	14876	15740	15708	15677	15646	15615	15584	15553	15522	15491	15460	15429	15398	15366
43	Pacifico	30	Chinandega 	3040	Villanueva	<1963	779.88	Villanueva	12.96666667	-86.81666667	60	5708	7915	22341	25660	26094	26536	26985	27442	27907	28379	28859	29348	29845	30350	30864	31386	946	1349	3090	7684	7931	8185	8448	8719	8999	9288	9586	9894	10211	10539	10877	11225	4762	6566	19251	17976	18149	18323	18499	18677	18856	19037	19220	19405	19591	19779	19969	20161
44	Pacifico	30	Chinandega 	3045	Chinandega	<1963	686.61	Chinandega	12.61666667	-87.11666667	70	36885	45298	117037	121793	122886	123989	125102	126225	127358	128501	129654	130818	131992	133177	134372	135578	22409	29922	97387	95614	96866	98134	99419	100721	102040	103376	104730	106101	107490	108898	110324	111770	14476	15376	19650	26179	25973	25768	25565	25364	25164	24966	24769	24574	24380	24188	23997	23808
45	Pacifico	30	Chinandega 	3050	El Realejo	<1963	104.54	El Realejo	12.53333333	-87.16666667	7	2158	2366	8154	8838	8925	9013	9102	9192	9282	9373	9465	9558	9652	9747	9843	9940	471	522	3357	3954	4019	4085	4152	4220	4289	4360	4432	4505	4579	4654	4731	4809	1687	1844	4797	4884	4904	4924	4944	4964	4984	5005	5026	5047	5068	5089	5110	5131
46	Pacifico	30	Chinandega 	3055	Corinto	<1963	70.67	Corinto	12.48333333	-87.16666667	2	9650	14687	17177	16624	16760	16897	17036	17176	17317	17459	17602	17746	17892	18039	18187	18336	9177	13371	16926	16466	16614	16764	16915	17067	17221	17376	17532	17690	17849	18010	18172	18336	473	1316	251	158	0	0	0	0	0	0	0	0	0	0	0	0
47	Pacifico	30	Chinandega 	3060	Chichigalpa	<1963	222.54	Chichigalpa	12.56666667	-87.01666667	85	19685	22923	41903	44769	45370	45979	46596	47222	47856	48499	49150	49810	50479	51157	51844	52541	11168	14596	28823	34243	34850	35468	36097	36737	37389	38052	38727	39414	40113	40825	41549	42287	8517	8327	13080	10526	10503	10480	10457	10434	10411	10388	10365	10342	10319	10297	10275	10254
48	Pacifico	30	Chinandega 	3065	Posoltega	<1963	149.04	Posoltega	12.55	-86.98333333	70	7313	7140	15331	16771	16949	17129	17311	17495	17681	17869	18059	18251	18445	18641	18839	19037	1403	1131	4189	5718	5850	5985	6123	6264	6408	6556	6707	6862	7020	7182	7348	7517	5910	6009	11142	11053	11091	11129	11167	11206	11245	11284	11323	11362	11401	11440	11480	11520
49	Pacifico	35	León	3505	Achuapa	<1963	416.24	Achuapa	13.05	-86.58333333	330	8632	9589	13186	13797	13896	13995	14095	14196	14298	14400	14503	14607	14712	14817	14923	15030	924	1349	2345	2207	2275	2345	2417	2491	2568	2647	2728	2812	2898	2987	3079	3173	7708	8240	10841	11590	11612	11634	11656	11678	11700	11722	11744	11766	11788	11810	11832	11857
50	Pacifico	35	León	3510	El Sauce	<1963	692.97	El Sauce	12.88333333	-86.53333333	163	11923	12869	25973	27900	28168	28439	28713	28989	29268	29549	29833	30120	30410	30702	30997	31296	2944	3246	7052	7584	7797	8016	8241	8472	8709	8953	9204	9462	9727	10000	10280	10567	8979	9623	18921	20316	20350	20384	20418	20452	20486	20520	20554	20588	20623	20658	20693	20729
51	Pacifico	35	León	3515	Santa Rosa del Peñón	<1963	227.6	Santa Rosa del Peñón	12.8	-86.36666667	180	5555	4530	9129	9529	9633	9738	9844	9951	10059	10168	10279	10391	10504	10618	10734	10851	383	509	2070	1852	1932	2015	2102	2192	2286	2384	2486	2593	2704	2820	2941	3068	5172	4021	7059	7677	7686	7695	7704	7713	7722	7731	7740	7749	7758	7767	7776	7783
52	Pacifico	35	León	3520	El Jicaral	<1963	431.48	El Jicaral	12.71666667	-86.36666667	115	2801	3090	10036	10326	10436	10547	10660	10774	10889	11005	11122	11241	11361	11482	11605	11729	239	434	566	780	818	858	899	942	988	1036	1086	1138	1193	1251	1311	1374	2562	2656	9470	9546	9611	9676	9742	9808	9875	9942	10010	10078	10147	10216	10285	10355
53	Pacifico	35	León	3525	Larreynaga	<1963	780.22	Malpaisillo	12.66666667	-86.56666667	92	18107	17375	29798	27898	28266	28639	29016	29398	29785	30178	30576	30979	31387	31801	32220	32645	6112	4183	5475	11292	11505	11722	11943	12168	12397	12631	12869	13112	13359	13611	13868	14129	11995	13192	24323	16606	16757	16910	17064	17220	17377	17535	17695	17856	18019	18183	18349	18516
54	Pacifico	35	León	3530	Telica	<1963	393.67	Telica	12.51666667	-86.85	119	10286	10857	22779	23266	23480	23696	23914	24134	24356	24580	24806	25034	25264	25496	25730	25964	1702	2338	6221	6848	7016	7188	7365	7546	7731	7921	8116	8315	8519	8728	8942	9163	8584	8519	16558	16418	16450	16482	16514	16546	16578	16610	16642	16674	16706	16738	16770	16801
55	Pacifico	35	León	3535	Quezalguaque	<1963	85.7	Quezalguaque	12.5	-86.9	90	2836	3506	7754	8591	8683	8776	8870	8965	9061	9158	9256	9355	9455	9556	9658	9759	220	364	981	1233	1274	1316	1359	1404	1450	1498	1547	1598	1651	1706	1762	1821	2616	3142	6773	7358	7405	7452	7499	7547	7595	7643	7691	7740	7789	7838	7888	7938
