mun_id	year	F_n	F_semanas	F_ave_semanas	M_n	M_semanas	M_ave_semanas	T_n	T_semanas	T_ave_semanas
7530	2019	387	16468	42.55297157622739	510	18137	35.562745098039215	897	34605	38.57859531772575
7505	2018	3367	131781	39.13899613899614	4784	186057	38.89151337792642	8151	317838	38.99374309900626
7505	2019	3284	132276	40.278928136419005	4569	181500	39.724228496388704	7853	313776	39.95619508468101
7535	2018	965	42156	43.68497409326425	1331	49351	37.07813673929376	2296	91507	39.85496515679443
7535	2019	930	41996	45.15698924731183	1210	46776	38.65785123966942	2140	88772	41.48224299065421
3060	2018	3569	128744	36.07284953768563	8236	268957	32.65626517727052	11805	397701	33.68919949174079
3060	2019	3402	120706	35.480893592004705	7879	245038	31.100139611625842	11281	365744	32.421239251839374
3045	2018	10082	400926	39.766514580440386	15949	557396	34.94864881810772	26031	958322	36.814644078214435
3045	2019	9611	377603	39.28862761419207	15092	528806	35.03882851842035	24703	906409	36.69226409747804
3015	2018	234	10753	45.952991452991455	324	10435	32.20679012345679	558	21188	37.971326164874554
3015	2019	220	10533	47.877272727272725	251	10413	41.48605577689243	471	20946	44.47133757961783
3055	2018	1278	44580	34.882629107981224	3023	101808	33.677803506450545	4301	146388	34.03580562659847
3055	2019	1216	43284	35.5953947368421	2860	93679	32.754895104895105	4076	136963	33.60230618253189
3050	2018	522	17797	34.093869731800766	1517	47692	31.438365194462754	2039	65489	32.118195193722414
3050	2019	464	16834	36.2801724137931	1392	47394	34.047413793103445	1856	64228	34.605603448275865
3025	2018	5743	213999	37.26258053282257	11976	403009	33.651386105544425	17719	617008	34.821829674360856
3025	2019	5417	204143	37.68561934650175	11487	382518	33.30007834943849	16904	586661	34.70545433033602
3065	2018	1083	39926	36.86611265004617	1834	59465	32.4236641221374	2917	99391	34.07302022625986
3065	2019	1014	37602	37.082840236686394	1683	53555	31.821152703505646	2697	91157	33.79940674823878
3030	2018	1063	32529	30.60112888052681	1928	57195	29.66545643153527	2991	89724	29.997993981945836
3030	2019	951	31051	32.650893796004205	1735	53350	30.7492795389049	2686	84401	31.422561429635145
3010	2018	138	6325	45.833333333333336	185	6251	33.78918918918919	323	12576	38.93498452012384
3010	2019	141	6453	45.765957446808514	214	7152	33.42056074766355	355	13605	38.32394366197183
3005	2018	131	6214	47.43511450381679	133	4014	30.18045112781955	264	10228	38.74242424242424
3005	2019	130	6281	48.315384615384616	95	4169	43.88421052631579	225	10450	46.44444444444444
3020	2018	149	6684	44.85906040268456	200	6275	31.375	349	12959	37.13180515759312
3020	2019	149	6535	43.85906040268456	165	6327	38.345454545454544	314	12862	40.961783439490446
3035	2018	726	32650	44.972451790633606	1067	38511	36.09278350515464	1793	71161	39.68823201338539
3035	2019	689	30983	44.96806966618287	1124	42723	38.00978647686833	1813	73706	40.65416436845008
3040	2018	551	23173	42.05626134301271	1071	33462	31.243697478991596	1622	56635	34.916769420468555
3040	2019	498	22530	45.24096385542169	861	30123	34.98606271777003	1359	52653	38.7439293598234
6535	2018	538	23790	44.21933085501859	811	27622	34.059186189889026	1349	51412	38.11119347664937
6535	2019	500	23147	46.294	711	24797	34.876230661040786	1211	47944	39.59042113955409
6505	2018	148	6558	44.310810810810814	356	12902	36.241573033707866	504	19460	38.611111111111114
6505	2019	147	6757	45.965986394557824	323	12532	38.79876160990712	470	19289	41.04042553191489
6545	2018	154	7129	46.29220779220779	227	7837	34.52422907488987	381	14966	39.28083989501312
6545	2019	156	7061	45.26282051282051	186	7576	40.73118279569893	342	14637	42.79824561403509
6510	2018	4211	186231	44.224887200189976	6409	247610	38.63473240755188	10620	433841	40.85131826741996
6510	2019	3999	180950	45.24881220305076	6328	244460	38.6314791403287	10327	425410	41.193957586908105
6515	2018	508	20114	39.59448818897638	1127	42567	37.77018633540373	1635	62681	38.337003058103974
6515	2019	465	19641	42.23870967741936	1097	41535	37.86235186873291	1562	61176	39.1651728553137
6507	2018	157	6713	42.75796178343949	179	6281	35.089385474860336	336	12994	38.67261904761905
6507	2019	153	6708	43.84313725490196	175	5959	34.05142857142857	328	12667	38.61890243902439
6530	2018	283	11774	41.60424028268551	419	15249	36.39379474940334	702	27023	38.49430199430199
6530	2019	277	11838	42.73646209386282	464	15518	33.44396551724138	741	27356	36.91767881241565
6520	2018	327	13512	41.321100917431195	528	19806	37.51136363636363	855	33318	38.96842105263158
6520	2019	306	13144	42.95424836601307	644	20973	32.566770186335404	950	34117	35.91263157894737
